Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1943,,,,,,,,,,,
1944,,,,,,,,,,,
1945,,,,,,,,,,,
1948,16.9,21.4,11.7,,17.8,92,0,2,14,0,0
1949,17.1,21.3,12.3,,17.8,99,0,2,18,0,0
1950,17.6,21.4,13.4,,18.1,76,0,5,18,0,0
1951,17.3,22,12.2,,16.7,44,0,4,12,0,0
1952,17.2,21.8,12.2,,16.6,113,0,11,18,0,0
1953,17.1,21.9,12,,16.4,98,0,6,4,0,0
1954,17.2,21.7,12.4,,13.6,81,0,8,14,0,0
1955,17.3,21.9,12.6,,13.2,142,0,12,14,0,0
1956,17.1,21.7,12.3,,13.6,125,1,10,5,0,1
1957,17.3,22.5,12,,12.9,85,0,13,3,0,0
1959,,,,,,,,,,,
1960,17,20.9,13.3,,12.2,126,0,10,11,0,0
1961,17.1,20.9,13.6,,13.5,125,0,12,15,0,0
1962,17,21,13.3,,13,112,0,6,5,0,0
1963,17.3,20.9,14,,11.6,137,0,12,15,0,1
1964,17.3,21.6,13.4,,13,82,0,7,8,0,0
1965,17.2,21.4,13.3,,13.4,98,0,7,6,0,0
1966,16.8,20.8,13.1,,13.8,110,0,13,6,0,0
1967,17.1,20.9,13.7,,15.9,131,0,7,11,0,0
1968,17.4,21.7,13.8,,14.6,108,0,6,5,0,0
1969,17.3,21.2,13.9,,15.1,144,0,10,13,0,1
1973,,,,,,,,,,,
1974,17.2,,13.8,,13.5,135,3,3,8,0,0
1975,,,,,,,,,,,
1976,17.1,21.1,13.4,,12.1,128,2,8,4,0,0
1977,,,,,,,,,,,
1978,17.2,21,13.7,,9.8,122,0,8,7,0,0
1979,17.8,21.8,14,,9.9,101,0,6,8,0,1
1980,18.1,22.4,13.5,,10.9,110,2,8,3,0,1
1981,17.8,21.5,13.6,,9.9,103,0,6,6,0,1
1982,17.6,21.6,14,893.34,10.8,97,1,2,6,0,0
1983,18,21.5,14.7,1076.98,12,113,1,9,7,0,0
1984,17.5,21,14,1180.34,11.3,124,0,9,7,0,0
1985,17.7,21.3,14.2,957.66,9.8,137,0,18,4,0,2
1986,17.7,21.8,13.8,975.84,9.6,141,1,22,4,0,0
1987,17.8,21.8,14.2,1075.42,8.9,159,0,19,11,0,0
1988,18.2,22.3,14.5,1692.65,9.7,175,1,21,15,0,0
1989,17.6,21.9,14,1183.12,12.3,182,3,16,6,0,1
1990,17.7,22.3,14,1714.51,11.9,169,1,21,6,0,1
1991,18.2,22.9,14.2,965.94,11.7,131,0,22,6,0,0
1992,17.3,21.6,13.5,1065.02,11.8,180,0,27,4,0,0
1993,18,22.4,14,726.76,10,155,0,20,12,0,0
1994,17.8,22.5,13.7,738.18,13.9,114,0,9,4,0,0
1995,17.4,21.7,13.6,1080.54,19,155,0,21,3,0,0
1996,17.6,22.1,13.6,1010.49,19.3,136,0,11,2,0,0
1997,18,22.2,14,967.01,18.7,137,0,16,3,0,0
1998,18.5,22.4,14.3,1296.64,19.1,165,1,18,2,0,0
1999,18.1,22,13.6,,18.1,191,0,19,12,0,2
2000,18.2,22.5,14.1,703.01,18.1,171,0,12,6,0,0
2001,18.4,22.8,14.1,1075.86,18.9,159,0,21,7,0,2
2002,,,,,,,,,,,
2003,18.1,22.6,13.7,1095.49,20.2,167,0,21,5,0,1
2004,18.5,23.3,13.8,860.72,19.4,145,0,32,7,0,2
2005,,,,,,,,,,,
2006,18.5,23.3,13.8,823.88,20.7,169,0,20,8,0,0
2007,18.7,23.1,14.3,941.01,20.7,161,1,34,10,0,0
2008,17.9,22.6,13.5,866.6,20.4,163,0,33,8,0,1
2009,18.8,23.7,14.3,795.22,20.5,167,1,25,9,0,1
2010,18.6,23,14.1,957.99,19.9,189,0,26,10,0,0
2011,18.3,22.8,14,1082.15,20.6,192,0,16,11,0,0
2012,18.2,23.1,13.6,872.2,20.1,170,0,23,10,0,0
2013,19.1,24.2,14.5,1223.18,20.4,159,0,27,17,0,2
2014,18.9,23.8,14.5,977,20,194,1,31,6,0,0
2015,18.7,23.7,14.2,1064.66,19.9,191,0,32,12,0,0
2016,19.3,24.3,14.5,1161.42,20,158,1,15,1,0,0
2017,19.1,24.2,14.3,822.82,20.6,175,0,22,4,0,1
2018,18.9,24,14.2,731.68,20.6,154,0,28,6,0,1
2019,,,,,,,,,,,
