,Year,T
3,1948,16.9
4,1949,17.1
5,1950,17.6
6,1951,17.3
7,1952,17.2
8,1953,17.1
9,1954,17.2
10,1955,17.3
11,1956,17.1
12,1957,17.3
14,1960,17.0
15,1961,17.1
16,1962,17.0
17,1963,17.3
18,1964,17.3
19,1965,17.2
20,1966,16.8
21,1967,17.1
22,1968,17.4
23,1969,17.3
25,1974,17.2
27,1976,17.1
29,1978,17.2
30,1979,17.8
31,1980,18.1
32,1981,17.8
33,1982,17.6
34,1983,18.0
35,1984,17.5
36,1985,17.7
37,1986,17.7
38,1987,17.8
39,1988,18.2
40,1989,17.6
41,1990,17.7
42,1991,18.2
43,1992,17.3
44,1993,18.0
45,1994,17.8
46,1995,17.4
47,1996,17.6
48,1997,18.0
49,1998,18.5
50,1999,18.1
51,2000,18.2
52,2001,18.4
54,2003,18.1
55,2004,18.5
57,2006,18.5
58,2007,18.7
59,2008,17.9
60,2009,18.8
61,2010,18.6
62,2011,18.3
63,2012,18.2
64,2013,19.1
65,2014,18.9
66,2015,18.7
67,2016,19.3
68,2017,19.1
69,2018,18.9
